Site_list,Email_title,hr_interval,min_lot_size,OPERATION,Vmin_token,decode_script,TP,delta,x_iqr,ss_target,ss_rest,exclusion,Comment,prodgroup3,platform
"A48','A90",HDMX_Vmin Check per Socket Result_ADLM282,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLM2%,0.028,1.5,20,300,,,ADLM282,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLP282;ADLP282IOTG,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP2H6%,0.028,1.5,20,300,Vmin@SAQ@0.600@,,ADLP282;ADLP282IOTG,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLP682,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP6H6%,0.028,1.5,20,300,,,ADLP682,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLPS6,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP6W7%,0.028,1.5,20,300,,,ADLPS6,client
A90,HDMX_Vmin Check per Socket Result_ADLPS2,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP2W7%,0.028,1.5,20,300,,,ADLPS2,client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_ADLS601;ADLG601,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLS6P5%,0.028,1.5,20,300,,,ADLS601;ADLG601,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADL881BGA,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLS8H6%,0.028,1.5,20,300,,,ADL881BGA,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLS881;ADLG881,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLS8P5%,0.028,1.5,20,300,,,ADLS881;ADLG881,client
A90,HDMX_Vmin Check per Socket Result_ADLN,5,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADN%,0.028,1.5,20,300,,,ADLN,SOC
A90,HDMX_Vmin Check per Socket Result_ADNIOTG,5,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADX%,0.028,1.5,20,300,,,ADNIOTG,SOC
"A48','A90",HDMX_Vmin Check per Socket Result_CFD,5,200,6262,%VA_IN_-_PBIC_S1::FAST_UPSVFPASSFLOW%,type1,CFLD%,0.028,1.5,20,300,,,CFD,client
"A48','A90",HDMX_Vmin Check per Socket Result_CMLS62,5,200,6261,%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,CMLD%,0.028,1.5,20,300,,,CMLS62,client
"A48','A90",HDMX_Vmin Check per Socket Result_CMLU42,5,200,6262,%VA_IN_-_PBIC_S1::FAST_UPSVFPASSFLOW%,type1,CMLU%,0.028,1.5,20,300,,,CMLU42,client
A48,HDMX_Vmin Check per Socket Result_DG1,5,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG1XXXXB%,0.028,1.5,20,300,,,DG1,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_DG128,5,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG2XXP2B%,0.028,1.5,20,300,,,DG128,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_DG512,5,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG2XXP2C%,0.028,1.5,20,300,,,DG512,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_DG256,5,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG2XXP2A%,0.028,1.5,20,300,,,DG256,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_EHB,5,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,EHB%,0.028,1.5,20,300,,,EHB,SOC
A90,HDMX_Vmin Check per Socket Result_EHL,5,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,EHL%,0.028,1.5,20,300,,,EHL,SOC
"A15','A06",HDMX_Vmin Check per Socket Result_ICXXCP;ICX SP;ICXHCP,5,200,"6261','6262','6267",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ICXSVSP%,0.028,1.5,10,150,,,ICXXCP;ICX SP;ICXHCP,Server
A90,HDMX_Vmin Check per Socket Result_JSL,5,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,JSL%,0.028,1.5,20,300,,,JSL,SOC
A90,HDMX_Vmin Check per Socket Result_KBZ,5,200,6262,%VA_IN_-_PBIC_S1::FAST_UPSVF_FINAL%,type1,KBLD%,0.028,1.5,20,300,,,KBZ,client
"A48','A90",HDMX_Vmin Check per Socket Result_RKLS81,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RKL%,0.028,1.5,20,300,Vmin@SAQ@1.067@,,RKLS81,client
A90,HDMX_Vmin Check per Socket Result_SDW,5,200,6261,%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,SDW%,0.028,1.5,20,300,,,SDW,5G
"A48','A15",HDMX_Vmin Check per Socket Result_TGLH81,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLHAQ2%,0.028,1.5,20,300,,,TGLH81,client
"A48','A90",HDMX_Vmin Check per Socket Result_TGLUP3,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLUTH6B0G%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGLUP3,client
"A48','A90",HDMX_Vmin Check per Socket Result_TGLUP3IOTG,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLUTH6B0H%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGLUP3IOTG,client
"A48','A90",HDMX_Vmin Check per Socket Result_TGRUP3,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLUTH6C%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGRUP3,client
A90,HDMX_Vmin Check per Socket Result_TGLUP4,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGY%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGLUP4,client
