Site_list,Email_title,hr_interval,min_lot_size,OPERATION,Vmin_token,decode_script,TP,delta,x_iqr,ss_target,ss_rest,exclusion,Comment,prodgroup3,platform
"A15','A90",HDMX_Vmin Check per Socket Result_AXLF,4,200,"6261','6262','6267",%PBIC_S1::FAST_UPSVF%,type1,AXLUMA9F%,0.028,1.5,20,300,,,AXLF,SOC
A01,HDMX_Vmin Check per Socket Result_ICDHCC;ICDLCC,4,200,"6261','6262','6267','6263",%VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ICD%,0.028,1.3,10,150,,,ICDHCC;ICDLCC,Server
"A01','A90",HDMX_Vmin Check per Socket Result_SNWRDG,4,200,"6261','6262','6267",%VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,SNR%,0.028,1.5,10,150,,,SNWRDG,5G
"A01','A06",HDMX_Vmin Check per Socket Result_SPR112,4,200,"6261','6262','6267','6092",YBS_INTERP_POST::INTERPPOST_X_USERFUNC_K_END_X_X_X_X_INTERPPOST_INTERPOLATION_RESULTS_%,type1,SPR112%,0.028,1.3,10,150,,,SPR112,server
"A01','A06",HDMX_Vmin Check per Socket Result_CPXXCP,4,200,"6248','6249','7820','7827",%VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,CPX%,0.028,1.5,10,150,,,CPXXCP,Server
A01,HDMX_Vmin Check per Socket Result_PVC2SK;PVC2SS,4,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,PVC%,0.028,1.5,10,150,,,PVC2SK;PVC2SS,GPU
"A01','A06','A15",HDMX_Vmin Check per Socket Result_SPRXCP,4,200,"6261','6262','6267','6092",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW_UPS_,type2,SPRSVSPE%,0.028,1.1,10,150,,,SPRXCP,Server
"A06','A15",HDMX_Vmin Check per Socket Result_SPRMCP,4,200,"6261','6262','6267','6092",YBS_INTERP_POST::INTERPPOST_X_USERFUNC_K_END_X_X_X_X_INTERPPOST_INTERPOLATION_RESULTS_%,type1,SPRSVSPS%,0.028,1.3,10,150,,,SPRMCP,Server
"A01','A06",HDMX_Vmin Check per Socket Result_CLX64L;CLXHCP;CLXLCP;CLXXCP;CLXSHR,4,200,"6261','6262','6267",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,CLXS%,0.028,1.3,10,150,,,CLX64L;CLXHCP;CLXLCP;CLXXCP;CLXSHR,Server
"A01','A15",HDMX_Vmin Check per Socket Result_SKXHCC;SKXLCR;SKXXCC;SKXLCC,4,200,"6261','6262','6267",VA_IN___PBIC_DAB::UPS_VF,type1,SKX%,0.028,1.5,10,150,,,SKXHCC;SKXLCR;SKXXCC;SKXLCC,Server
A90,HDMX_Vmin Check per Socket Result_GLK,4,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW,type1,GLK%,0.028,1.5,20,300,,,GLK,SOC
A90,HDMX_Vmin Check per Socket Result_APK,4,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVF,type1,APL%,0.028,1.5,20,300,,,APK,SOC
A90,HDMX_Vmin Check per Socket Result_CGM,4,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVF,type1,CGM%,0.028,1.5,20,300,,,CGM,SOC
A90,HDMX_Vmin Check per Socket Result_ADLN,4,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADN%,0.028,1.5,20,300,,,ADLN,SOC
A90,HDMX_Vmin Check per Socket Result_ADNIOTG,4,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADX%,0.028,1.5,20,300,,,ADNIOTG,SOC
"A48','A90",HDMX_Vmin Check per Socket Result_CFD,4,200,6262,%VA_IN_-_PBIC_S1::FAST_UPSVFPASSFLOW%,type1,CFLD%,0.028,1.5,20,300,,,CFD,client
"A48','A90",HDMX_Vmin Check per Socket Result_CMLS62,4,200,6261,%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,CMLD%,0.028,1.5,20,300,,,CMLS62,client
"A48','A90",HDMX_Vmin Check per Socket Result_CMLU42,4,200,6262,%VA_IN_-_PBIC_S1::FAST_UPSVFPASSFLOW%,type1,CMLU%,0.028,1.5,20,300,,,CMLU42,client
A48,HDMX_Vmin Check per Socket Result_DG1,4,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG1XXXXB%,0.028,1.5,20,300,,,DG1,GRAPHICS
