Email_title,hr_interval,min_lot_size,OPERATION,TestName,Domain,delta,x_iqr,ss_target,ss_rest,TP1,prodgroup3,adj_ss_target,factor,platform
OFFLINE_HDMX_FIVR Check per Socket Result_CLX64,4,200,"6262','6261",%ALL_DACCALC_OFFSET_RAW%,SFR|DDRA012|DDRA345|DDRD012|DDRD345|R0|R1|C0|C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12|C13|C14|C15|C16|C17|C18|C19|C20|C21|C22|C23|C24|C25|C26|C27,5,1.2,10,150,CLXSV64%,CLX64L,5,1,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX64,4,200,"6262','6261",%ALL_DACCALC_SLOPE_RAW%,SFR|DDRA012|DDRA345|DDRD012|DDRD345|R0|R1|C0|C1|C2|C3|C4|C5|C6|C7|C8|C9|C10|C11|C12|C13|C14|C15|C16|C17|C18|C19|C20|C21|C22|C23|C24|C25|C26|C27,10,1.5,10,150,CLXSV64%,CLX64L,5,0.005,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX64,4,200,"6262','6261",%VDAC_VOUT%,,0.015,1.5,10,150,CLXSV64%,CLX64L,5,1,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX,4,200,"6262','6261",%ALL_DACCALC_OFFSET_RAW%,SFR|DDRA012_P|DDRA345_P|DDRD012_P|DDRD345_P|R0|R1|C0_P|C1_P|C2_P|C3_P|C4_P|C5_P|C6_P|C7_P|C8_P|C9_P|C10_P|C11_P|C12_P|C13_P|C14_P|C15_P|C16_P|C17_P,5,1.2,10,150,CLXSVSPN%,CLXHCP,5,1,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX,4,200,"6262','6261",%ALL_DACCALC_SLOPE_RAW%,SFR|DDRA012_P|DDRA345_P|DDRD012_P|DDRD345_P|R0|R1|C0_P|C1_P|C2_P|C3_P|C4_P|C5_P|C6_P|C7_P|C8_P|C9_P|C10_P|C11_P|C12_P|C13_P|C14_P|C15_P|C16_P|C17_P,10,1.5,10,150,CLXSVSPN%,CLXHCP,5,0.005,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX,4,200,"6262','6261",%VDAC_VOUT%,,0.015,1.5,10,150,CLXSVSPN%,CLXHCP,5,1,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX,4,200,"6262','6261",%ALL_DACCALC_OFFSET_RAW%,SFR|DDRA012_L|DDRA345_L|DDRD012_L|DDRD345_L|R0|R1|C0_L|C1_L|C2_L|C3_L|C4_L|C5_L|C6_L|C7_L|C8_L|C9_L,5,1.2,10,150,CLXSVSPV%,CLXLCP,5,1,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX,4,200,"6262','6261",%ALL_DACCALC_SLOPE_RAW%,SFR|DDRA012_L|DDRA345_L|DDRD012_L|DDRD345_L|R0|R1|C0_L|C1_L|C2_L|C3_L|C4_L|C5_L|C6_L|C7_L|C8_L|C9_L,10,1.5,10,150,CLXSVSPV%,CLXLCP,5,0.005,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX,4,200,"6262','6261",%VDAC_VOUT%,,0.015,1.5,10,150,CLXSVSPV%,CLXLCP,5,1,server
OFFLINE_HDMX_FIVR Check per Socket Result_CLX,4,200,"6262','6261",%ALL_DACCALC_OFFSET_RAW%,SFR|DDRA012_R|DDRA345_R|DDRD012_R|DDRD345_R|R0|R1|C0_R|C1_R|C2_R|C3_R|C4_R|C5_R|C6_R|C7_R|C8_R|C9_R|C10_R|C11_R|C12_R|C13_R|C14_R|C15_R|C16_R|C17_R,5,1.2,10,150,CLXSVSRN%,CLXSHR,5,1,server
